Filename,Title,Keywords,Category,Releases
img-0001.png,Minimalist Flat Lay of Fitness Essentials on Wooden Floor,"fitness, flat lay, dumbbells, water bottle, towel, sneakers, workout band, light wood, natural light, lifestyle, exercise, health, wellness, gym, active, training, equipment, sport, minimalist, top-down, home workout, motivation, physical fitness, yoga, cardio",fitness_active,no
img-0002.png,Vibrant Abstract Gradient Background with Smooth Shapes,"abstract, gradient, background, smooth, flowing, shapes, vibrant, pastel, colors, blue, purple, pink, modern, wallpaper, high, resolution, clean, elegant, tech, presentations, websites, design, digital, art, creative",abstract_gradient,no
img-0003.png,Serene Minimalist Meditation and Wellness Composition,"meditation, wellness, candle, stones, plant, neutral, tones, top-down, soft, light, spa, aesthetic, minimalist, composition, calm, peace, relaxation, nature, zen, tranquil, harmony, balance, self-care, mindfulness, serenity",wellness_yoga,no
img-0004.png,Minimalist Flat Lay of Fitness Essentials on Wooden Floor,"fitness, flat lay, dumbbells, water bottle, towel, sneakers, workout band, minimalist, lifestyle, stock, natural light, top-down, wooden floor, exercise, health, training, gym, wellness, active, equipment, home gym, workout, sports, motivation, routine",fitness_active,no
img-0005.png,Modern Minimalist Home Office Workspace with MacBook and Plants,"home, office, workspace, minimalist, remote, business, lifestyle, photography, natural, light, wooden, desk, plants, top-down, side angle, technology, computer, modern, interior, decor, design, workspace, productivity, home office, workspace design",business_remote,no
img-0006.png,Misty Mountains at Sunrise with Dramatic Clouds,"landscape, mountains, sunrise, mist, golden light, clouds, nature, photography, wide angle, dramatic, scenery, outdoors, peaceful, beauty, atmospheric, serene, photorealistic, horizon, sky, light, view, colorful, tranquil, morning, majestic",nature_landscape,no
img-0007.png,Futuristic Artificial Intelligence Neural Network Concept,"futuristic, artificial, intelligence, neural, network, data, glowing, blue, technology, sci-fi, nodes, connections, light, streams, dark, background, concept, digital, visual, editorial, professional, design, innovation, cyber, aesthetic",tech_ai,no
img-0008.png,Modern Minimalist Remote Work Setup in Bright Home Office,"business, remote, workspace, minimalist, home office, lifestyle, photography, natural light, macbook, wooden desk, plants, top-down, side angle, bright, decoration, technology, productivity, workspace design, interior, workspace inspiration, working, office decor, focus, clean, organization",business_remote,no
img-0009.png,Conceptual Financial Growth with Stacked Coins and Plant,"finance, growth, investment, coins, plant, business, chart, nature, money, wealth, success, economy, strategy, profit, green, finance industry, financial, development, savings, future, prosperity, business growth, editorial, soft light, conceptual",finance_growth,no
img-0010.png,Minimalist Flat Lay of Fitness Essentials on Wooden Floor,"fitness, flat lay, dumbbells, water bottle, towel, sneakers, workout band, light wood, natural light, lifestyle, exercise, health, equipment, active, gym, wellness, training, sport, minimalist, top-down, clean, motivation, routine, activity, focus",fitness_active,no
